no_of_iteration,test_error,training_error
24300.0,0.1752642411738634,0.18181839818134904
24350.0,0.17537106573581696,0.18164399079978466
24400.0,0.1754892747849226,0.18147641606628886
24450.0,0.17560817673802376,0.1813096604309976
24500.0,0.17572040669620034,0.18114266032353046
24550.0,0.17583314701914787,0.18097472609952087
24600.0,0.1759456917643547,0.1808114284649492
24650.0,0.17605789937078953,0.18064763164147726
24700.0,0.17616812698543072,0.1804850259795785
24750.0,0.17627436108887196,0.18031744146719567
24800.0,0.17639480717480185,0.18015321204438808
24850.0,0.1765089351683855,0.17998557724058628
24900.0,0.17662744410336018,0.1798152788542211
24950.0,0.17674250714480874,0.1796481441706419
25000.0,0.17685722559690475,0.1794856977649033
25050.0,0.17696258425712585,0.1793221733532846
25100.0,0.17707307823002338,0.17916410136967895
25150.0,0.17718774266541004,0.17900454672053456
25200.0,0.17730141803622246,0.1788459294475615
25250.0,0.17742379568517208,0.17868898063898087
25300.0,0.1775342095643282,0.17852897429838774
25350.0,0.1776411458849907,0.17836948717013001
25400.0,0.17774579674005508,0.17821233766153455
25450.0,0.17784549854695794,0.17804659577086568
25500.0,0.17795326933264732,0.17788780108094215
25550.0,0.17806189507246015,0.17773052025586367
25600.0,0.17816338315606114,0.17756732879206538
25650.0,0.17826741002500054,0.17740932013839486
25700.0,0.17837156169116494,0.17725389311090112
25750.0,0.17847120016813278,0.1770961508154869
25800.0,0.17856772430241108,0.17694199504330754
25850.0,0.17867338843643665,0.17678951378911734
25900.0,0.17878326028585434,0.17663593590259552
25950.0,0.1788921281695366,0.17648376524448395
26000.0,0.17900350876152515,0.17633550940081474
26050.0,0.17910590581595898,0.17618303885683415
26100.0,0.17920995317399502,0.17603114806115627
26150.0,0.17931897565722466,0.17587984586134553
26200.0,0.17941925302147865,0.17572963843122125
26250.0,0.1795254535973072,0.17558321822434664
26300.0,0.1796223297715187,0.17543345922604206
26350.0,0.17971723899245262,0.17528301943093538
26400.0,0.1798238940536976,0.17514151288196445
26450.0,0.1799245085567236,0.1749912491068244
26500.0,0.18002403900027275,0.17484534299001098
26550.0,0.18012073822319508,0.17469590762630105
26600.0,0.18021767772734165,0.17455034283921125
26650.0,0.18032546527683727,0.17440102761611342
26700.0,0.18043401651084426,0.17425889801234007
26750.0,0.1805441677570343,0.17411080515012145
26800.0,0.1806426513940096,0.17396369064226747
26850.0,0.18074560351669788,0.17381793493404984
26900.0,0.1808525212109089,0.17367278691381216
26950.0,0.1809571422636509,0.17352911876514554
27000.0,0.1810582745820284,0.17338308319449425
27050.0,0.18115375563502312,0.1732449010014534
27100.0,0.1812544092535973,0.17310547223314646
27150.0,0.18134619668126106,0.17295896029099822
27200.0,0.1814348790794611,0.17281336383894086
27250.0,0.1815321408212185,0.17267465917393565
27300.0,0.18162919022142887,0.17253494821488854
27350.0,0.18172120675444609,0.17238967446610332
27400.0,0.18181816302239887,0.17225428391247988
27450.0,0.1818961724638939,0.17210918618366122
27500.0,0.181983495131135,0.17197461565956473
27550.0,0.18205364607274527,0.1718311826698482
27600.0,0.1821393705904484,0.1717008869163692
